Title,Country,University,Deadline,Priority,Link
Flower power: Evolutionary and applied genomics of flower colour variation in Anigozanthos,Australia,Macquarie University,Year round applications,18,https://www.findaphd.com/phds/project/flower-power-evolutionary-and-applied-genomics-of-flower-colour-variation-in-anigozanthos/?p173297
Using machine learning to predict cell-type specific effects of genetic variants which influence genome regulation,United Kingdom,Imperial College London,Year round applications,45,https://www.findaphd.com/phds/project/using-machine-learning-to-predict-cell-type-specific-effects-of-genetic-variants-which-influence-genome-regulation/?p160715
Predicting diverse facial appearance,United Kingdom,Liverpool John Moores University,09/02/24,12,https://www.findaphd.com/phds/project/predicting-diverse-facial-appearance/?p173266
PhD Position: Computational analysis and modeling of evolutionary processes,Spain,Centre for Genomic Regulation (CRG),08/01/24,36,https://www.findaphd.com/phds/project/phd-position-computational-analysis-and-modeling-of-evolutionary-processes/?p171835
Dissecting Molecular Mechanisms of Membrane Protein Quality Control,United Kingdom,University of Leeds,07/30/24,5,https://www.findaphd.com/phds/project/dissecting-molecular-mechanisms-of-membrane-protein-quality-control/?p173250
Investigating the RNA structurome of fusion-positive rhabdomyosarcoma (GREEND_U24CCLGMED),United Kingdom,University of East Anglia,07/31/24,9,https://www.findaphd.com/phds/project/investigating-the-rna-structurome-of-fusion-positive-rhabdomyosarcoma-greend-u24cclgmed/?p173238
Development and validation of the Epilepsy-Heart syndrome: a focus on ictal asystole and developing evidence-based national consensus guidelines,United Kingdom,University of Liverpool,12/02/24,4,https://www.findaphd.com/phds/project/development-and-validation-of-the-epilepsy-heart-syndrome-a-focus-on-ictal-asystole-and-developing-evidence-based-national-consensus-guidelines/?p173234
Predicting the Colloidal Properties of Recombinant Protein in Solution Using Molecular Dynamics Simulations,United Kingdom,University College London,07/10/24,0,https://www.findaphd.com/phds/project/predicting-the-colloidal-properties-of-recombinant-protein-in-solution-using-molecular-dynamics-simulations/?p166629
Developing a High-Quality PPI Interactome to Model Cell States and Disease Biology,United Kingdom,Queen Mary University of London,07/28/24,3,https://www.findaphd.com/phds/project/developing-a-high-quality-ppi-interactome-to-model-cell-states-and-disease-biology/?p173167
PhD Studentship Rule-based Clinical Decision System Supporting Parkinsonâ€™s Decision-Making.,United Kingdom,Newcastle University,08/01/24,0,https://www.findaphd.com/phds/project/phd-studentship-rule-based-clinical-decision-system-supporting-parkinson-s-decision-making/?p173164
An international study to investigate and optimise the safety of discontinuing valproate in young men and women with epilepsy,United Kingdom,University of Liverpool,08/09/24,0,https://www.findaphd.com/phds/project/an-international-study-to-investigate-and-optimise-the-safety-of-discontinuing-valproate-in-young-men-and-women-with-epilepsy/?p173157
Understanding the role of Cadherin-17 (CDH17) in prostate cancer metabolism and progression,United Kingdom,University of Leicester,07/31/24,4,https://www.findaphd.com/phds/project/understanding-the-role-of-cadherin-17-cdh17-in-prostate-cancer-metabolism-and-progression/?p173120
Epigenetic profiling of cereal fungal invaders. (SAUNDERS_J24DTP1),United Kingdom,John Innes Centre,07/22/24,22,https://www.findaphd.com/phds/project/epigenetic-profiling-of-cereal-fungal-invaders-saunders-j24dtp1/?p161773
ThAnoS: thiopeptide antibiotics biosynthesis (GHILAROV_J24DTP),United Kingdom,John Innes Centre,07/22/24,4,https://www.findaphd.com/phds/project/thanos-thiopeptide-antibiotics-biosynthesis-ghilarov-j24dtp/?p161759
BBSRC NLD Doctoral Training Partnership: Exploring interactions between co-infecting trypanosomatids and other pathogens in a Drosophila model,United Kingdom,University of Liverpool,07/22/24,9,https://www.findaphd.com/phds/project/bbsrc-nld-doctoral-training-partnership-exploring-interactions-between-co-infecting-trypanosomatids-and-other-pathogens-in-a-drosophila-model/?p165079
